,movieId,title
0,1,Toy Story (1995)
1,2,Jumanji (1995)
2,3,Grumpier Old Men (1995)
3,4,Waiting to Exhale (1995)
4,5,Father of the Bride Part II (1995)
5,6,Heat (1995)
6,7,Sabrina (1995)
7,8,Tom and Huck (1995)
8,9,Sudden Death (1995)
9,10,GoldenEye (1995)
10,11,"American President, The (1995)"
11,12,Dracula: Dead and Loving It (1995)
12,13,Balto (1995)
13,14,Nixon (1995)
14,15,Cutthroat Island (1995)
15,16,Casino (1995)
16,17,Sense and Sensibility (1995)
17,18,Four Rooms (1995)
18,19,Ace Ventura: When Nature Calls (1995)
19,20,Money Train (1995)
20,21,Get Shorty (1995)
21,22,Copycat (1995)
22,23,Assassins (1995)
23,24,Powder (1995)
24,25,Leaving Las Vegas (1995)
25,26,Othello (1995)
26,27,Now and Then (1995)
27,28,Persuasion (1995)
28,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
30,31,Dangerous Minds (1995)
31,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
32,34,Babe (1995)
33,36,Dead Man Walking (1995)
34,38,It Takes Two (1995)
35,39,Clueless (1995)
36,40,"Cry, the Beloved Country (1995)"
37,41,Richard III (1995)
38,42,Dead Presidents (1995)
39,43,Restoration (1995)
40,44,Mortal Kombat (1995)
41,45,To Die For (1995)
42,46,How to Make an American Quilt (1995)
43,47,Seven (a.k.a. Se7en) (1995)
44,48,Pocahontas (1995)
45,49,When Night Is Falling (1995)
46,50,"Usual Suspects, The (1995)"
47,52,Mighty Aphrodite (1995)
48,53,Lamerica (1994)
49,54,"Big Green, The (1995)"
50,55,Georgia (1995)
51,57,Home for the Holidays (1995)
52,58,"Postman, The (Postino, Il) (1994)"
53,60,"Indian in the Cupboard, The (1995)"
54,61,Eye for an Eye (1996)
55,62,Mr. Holland's Opus (1995)
56,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
57,64,Two if by Sea (1996)
58,65,Bio-Dome (1996)
59,66,Lawnmower Man 2: Beyond Cyberspace (1996)
60,68,French Twist (Gazon maudit) (1995)
61,69,Friday (1995)
62,70,From Dusk Till Dawn (1996)
63,71,Fair Game (1995)
64,72,Kicking and Screaming (1995)
65,73,"Misérables, Les (1995)"
66,74,Bed of Roses (1996)
67,75,Big Bully (1996)
68,76,Screamers (1995)
69,77,Nico Icon (1995)
70,78,"Crossing Guard, The (1995)"
71,79,"Juror, The (1996)"
72,80,"White Balloon, The (Badkonake sefid) (1995)"
73,81,Things to Do in Denver When You're Dead (1995)
74,82,Antonia's Line (Antonia) (1995)
75,83,Once Upon a Time... When We Were Colored (1995)
76,85,Angels and Insects (1995)
77,86,White Squall (1996)
78,87,Dunston Checks In (1996)
79,88,Black Sheep (1996)
80,89,Nick of Time (1995)
81,92,Mary Reilly (1996)
82,93,Vampire in Brooklyn (1995)
83,94,Beautiful Girls (1996)
84,95,Broken Arrow (1996)
85,96,In the Bleak Midwinter (1995)
86,97,"Hate (Haine, La) (1995)"
87,99,Heidi Fleiss: Hollywood Madam (1995)
88,100,City Hall (1996)
89,101,Bottle Rocket (1996)
90,102,Mr. Wrong (1996)
91,103,Unforgettable (1996)
92,104,Happy Gilmore (1996)
93,105,"Bridges of Madison County, The (1995)"
94,106,Nobody Loves Me (Keiner liebt mich) (1994)
95,107,Muppet Treasure Island (1996)
96,108,Catwalk (1996)
97,110,Braveheart (1995)
98,111,Taxi Driver (1976)
99,112,Rumble in the Bronx (Hont faan kui) (1995)
100,113,Before and After (1996)
101,116,Anne Frank Remembered (1995)
102,117,"Young Poisoner's Handbook, The (1995)"
103,118,If Lucy Fell (1996)
104,119,"Steal Big, Steal Little (1995)"
105,121,"Boys of St. Vincent, The (1992)"
106,122,Boomerang (1992)
107,123,Chungking Express (Chung Hing sam lam) (1994)
108,125,Flirting With Disaster (1996)
109,126,"NeverEnding Story III, The (1994)"
110,128,Jupiter's Wife (1994)
111,129,Pie in the Sky (1996)
112,132,Jade (1995)
113,135,Down Periscope (1996)
114,137,Man of the Year (1995)
115,140,Up Close and Personal (1996)
116,141,"Birdcage, The (1996)"
117,144,"Brothers McMullen, The (1995)"
118,145,Bad Boys (1995)
119,146,"Amazing Panda Adventure, The (1995)"
120,147,"Basketball Diaries, The (1995)"
121,148,"Awfully Big Adventure, An (1995)"
122,149,Amateur (1994)
123,150,Apollo 13 (1995)
124,151,Rob Roy (1995)
125,152,"Addiction, The (1995)"
126,153,Batman Forever (1995)
127,154,Beauty of the Day (Belle de jour) (1967)
128,155,Beyond Rangoon (1995)
129,156,Blue in the Face (1995)
130,157,Canadian Bacon (1995)
131,158,Casper (1995)
132,159,Clockers (1995)
133,160,Congo (1995)
134,161,Crimson Tide (1995)
135,162,Crumb (1994)
136,163,Desperado (1995)
137,164,Devil in a Blue Dress (1995)
138,165,Die Hard: With a Vengeance (1995)
139,166,"Doom Generation, The (1995)"
140,168,First Knight (1995)
141,169,Free Willy 2: The Adventure Home (1995)
142,170,Hackers (1995)
143,171,Jeffrey (1995)
144,172,Johnny Mnemonic (1995)
145,173,Judge Dredd (1995)
146,174,Jury Duty (1995)
147,175,Kids (1995)
148,176,Living in Oblivion (1995)
149,177,Lord of Illusions (1995)
150,178,Love & Human Remains (1993)
151,179,Mad Love (1995)
152,180,Mallrats (1995)
153,181,Mighty Morphin Power Rangers: The Movie (1995)
154,183,Mute Witness (1994)
155,184,Nadja (1994)
156,185,"Net, The (1995)"
157,186,Nine Months (1995)
158,187,Party Girl (1995)
159,188,"Prophecy, The (1995)"
160,189,Reckless (1995)
161,190,Safe (1995)
162,191,"Scarlet Letter, The (1995)"
163,193,Showgirls (1995)
164,194,Smoke (1995)
165,195,Something to Talk About (1995)
166,196,Species (1995)
167,198,Strange Days (1995)
168,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
169,201,Three Wishes (1995)
170,202,Total Eclipse (1995)
171,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
172,204,Under Siege 2: Dark Territory (1995)
173,205,Unstrung Heroes (1995)
174,206,Unzipped (1995)
175,207,"Walk in the Clouds, A (1995)"
176,208,Waterworld (1995)
177,209,White Man's Burden (1995)
178,210,Wild Bill (1995)
179,211,"Browning Version, The (1994)"
180,212,Bushwhacked (1995)
181,213,Burnt by the Sun (Utomlyonnye solntsem) (1994)
182,214,Before the Rain (Pred dozhdot) (1994)
183,215,Before Sunrise (1995)
184,216,Billy Madison (1995)
185,217,"Babysitter, The (1995)"
186,218,Boys on the Side (1995)
187,219,"Cure, The (1995)"
188,220,Castle Freak (1995)
189,222,Circle of Friends (1995)
190,223,Clerks (1994)
191,224,Don Juan DeMarco (1995)
192,225,Disclosure (1994)
193,227,Drop Zone (1994)
194,228,Destiny Turns on the Radio (1995)
195,229,Death and the Maiden (1994)
196,230,Dolores Claiborne (1995)
197,231,Dumb & Dumber (Dumb and Dumber) (1994)
198,232,Eat Drink Man Woman (Yin shi nan nu) (1994)
199,233,Exotica (1994)
200,234,Exit to Eden (1994)
201,235,Ed Wood (1994)
202,236,French Kiss (1995)
203,237,Forget Paris (1995)
204,238,Far From Home: The Adventures of Yellow Dog (1995)
205,239,"Goofy Movie, A (1995)"
206,240,Hideaway (1995)
207,241,Fluke (1995)
208,242,Farinelli: il castrato (1994)
209,243,Gordy (1995)
210,246,Hoop Dreams (1994)
211,247,Heavenly Creatures (1994)
212,248,Houseguest (1994)
213,249,Immortal Beloved (1994)
214,250,Heavyweights (Heavy Weights) (1995)
215,251,"Hunted, The (1995)"
216,252,I.Q. (1994)
217,253,Interview with the Vampire: The Vampire Chronicles (1994)
218,254,Jefferson in Paris (1995)
219,255,"Jerky Boys, The (1995)"
220,256,Junior (1994)
